,track,artist,duration (ms),popularity,uri,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time signature,labels
90,Chocolate,The 1975,224673,66,spotify:track:4WiiRw2PHMNQE0ad6y6GdD,0.614,0.938,11,-4.461,0.0611,0.000532,0.0,0.368,0.607,100.058,4,1
91,Chop Suey!,System Of A Down,210240,79,spotify:track:2DlHlPMa4M17kufBvI2lEN,0.419,0.934,7,-3.908,0.12,0.000278,0.0015,0.132,0.286,127.288,4,2
92,City Lights,Marlies du Mosch,226266,26,spotify:track:5OxyHotdy7y789r3UQcHAB,0.341,0.0582,8,-23.103,0.0472,0.983,0.924,0.097,0.0514,83.05,4,3
93,Clap Your Hands,Sia,238466,44,spotify:track:18cST7DK31Ab2rTH1POP6A,0.6990000000000001,0.87,0,-4.925,0.0546,0.000532,0.0219,0.359,0.778,120.033,4,1
94,Cleansing,Jacco Wynia,304217,36,spotify:track:6u1ymcw9MTK9mPGy8XdvEb,0.18,0.0754,9,-26.645,0.0346,0.956,0.926,0.11,0.0366,71.675,4,3
95,Clear Skies,Dhyana Thomas,162085,51,spotify:track:7bKMZYXVYzGMvnHiRDCmjy,0.421,0.136,11,-23.521,0.0305,0.94,0.89,0.113,0.0505,110.036,4,3
96,Click Click Boom,Saliva,252400,0,spotify:track:1LMVGL3030W3mGmRrd2hCm,0.607,0.935,6,-2.918,0.0506,0.00259,0.000221,0.195,0.51,95.97,4,2
97,Coda,Jakob Ahlbom,180614,58,spotify:track:2TFQPFUqRtgj1auq9b5PlR,0.351,0.24,9,-15.363,0.034,0.93,0.904,0.101,0.0968,79.919,3,3
98,Cold Arms,Mumford & Sons,169906,0,spotify:track:7kpZ9isu48poYKpaAb0wiR,0.431,0.144,11,-12.07,0.039,0.815,1.1e-06,0.124,0.0491,137.683,4,0
99,Cold Nights,Camo Columbo,189813,51,spotify:track:1q3AoLCoawd8Gpm9wP7sHi,0.941,0.421,11,-7.917999999999998,0.0583,0.321,9.34e-05,0.0967,0.787,107.011,4,0
100,Cold as Stone (feat. Charlotte Lawrence) - Lipless Remix,Kaskade,228666,57,spotify:track:6chZg1OMXz9VN3MQCr4cNf,0.619,0.6629999999999999,7,-6.937,0.0366,0.237,0.0,0.111,0.142,123.93,4,2
101,Colgando,Barulinho,268800,36,spotify:track:2dVvMXDWBY0U7VjCjOjVH9,0.5670000000000001,0.39,0,-13.701,0.0301,0.948,0.966,0.0802,0.133,99.997,4,3
102,Collapse Into Light,Evin Iris,179500,55,spotify:track:3jP962JoLAn9p4wCDdx4My,0.305,0.229,1,-18.329,0.0334,0.933,0.904,0.104,0.0562,121.599,4,3
103,Come On Eileen,Dexys Midnight Runners,273720,1,spotify:track:5uzNa0SBGOe5pPnstWHMCt,0.466,0.615,0,-9.102,0.0492,0.413,0.0,0.343,0.812,108.016,4,1
104,Come Out And Play (Keep ‘Em Separated),The Offspring,197800,68,spotify:track:0Yb5Kfpf3boElZNa61wPdJ,0.476,0.856,7,-3.764,0.161,0.0535,6.75e-06,0.0846,0.847,158.671,4,2
105,Coming Home,Zoe Connelly,172818,51,spotify:track:30ACOtgBj1PqZs1erzFZkU,0.198,0.139,5,-18.72,0.031,0.8540000000000001,0.856,0.0773,0.106,82.405,4,3
106,Coming Undone,Korn,199773,0,spotify:track:261QAU5PAmYYv0KPr0vc49,0.696,0.677,2,-4.178,0.0554,0.000855,0.000247,0.0646,0.551,150.125,4,2
107,Consequences,Camila Cabello,178466,74,spotify:track:7sTtHHrD0zDpmzQzH3zegz,0.455,0.292,0,-6.792000000000002,0.0563,0.889,0.0,0.106,0.43,84.339,5,0
108,Conversation,Lucy Rose,229560,45,spotify:track:4THgqBGsTYJcNcQWCV92AP,0.242,0.1369999999999999,2,-16.332,0.0322,0.901,0.0105,0.1669999999999999,0.0644,92.454,3,0
109,Count On You - ATFC's C-thru Remix,Autoerotique,235594,42,spotify:track:7GL2SOvJXs8QVLX0cUADeq,0.825,0.925,4,-7.502000000000002,0.0463,0.00735,0.8079999999999999,0.057,0.5670000000000001,123.025,4,1
110,Count That - R3HAB Edit,Steff da Campo,125161,41,spotify:track:1J1wnDwBjkFvDVOxNOLVjY,0.6859999999999999,0.955,1,-3.665,0.113,0.0957,0.00621,0.0809,0.447,123.978,4,2
